# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,0.000000000000000000e+00,2.583247425742288966e-03,0.000000000000000000e+00
6.666666666666666075e+00,0.000000000000000000e+00,2.246974878138814635e-02,0.000000000000000000e+00
3.999999999999999112e+00,0.000000000000000000e+00,5.568435306421319619e-02,0.000000000000000000e+00
2.857142857142856762e+00,0.000000000000000000e+00,1.010206522345891561e-01,0.000000000000000000e+00
2.222222222222221877e+00,0.000000000000000000e+00,1.510312694352270724e-01,0.000000000000000000e+00
1.818181818181817677e+00,0.000000000000000000e+00,2.116782958026062200e-01,0.000000000000000000e+00
1.538461538461538103e+00,0.000000000000000000e+00,2.773935288135358501e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.700000000000000185e-03,3.237518943396043847e-01,0.000000000000000000e+00
1.176470588235293935e+00,2.690000000000000030e-02,3.666986264763568704e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.853333333333333111e-02,3.915322402847683514e-01,0.000000000000000000e+00
9.523809523809521060e-01,7.763333333333333197e-02,4.256235989002568054e-01,0.000000000000000000e+00
8.695652173913041016e-01,8.486666666666667358e-02,4.431798897703745355e-01,0.000000000000000000e+00
7.999999999999998224e-01,9.496666666666667145e-02,4.626960132104195877e-01,0.000000000000000000e+00
7.407407407407405886e-01,1.074333333333333390e-01,4.790476167521844908e-01,0.000000000000000000e+00
6.896551724137929273e-01,1.350666666666666682e-01,5.042189070674713003e-01,0.000000000000000000e+00
6.451612903225805162e-01,1.437666666666666537e-01,5.093134643327611455e-01,0.000000000000000000e+00
