# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,0.000000000000000000e+00,2.604746748191013282e-03,0.000000000000000000e+00
6.666666666666666075e+00,0.000000000000000000e+00,2.135938284260724754e-02,0.000000000000000000e+00
3.999999999999999112e+00,0.000000000000000000e+00,5.682586452938589994e-02,0.000000000000000000e+00
2.857142857142856762e+00,0.000000000000000000e+00,1.031752089623276109e-01,0.000000000000000000e+00
2.222222222222221877e+00,0.000000000000000000e+00,1.553581714417927861e-01,0.000000000000000000e+00
1.818181818181817677e+00,0.000000000000000000e+00,2.104185560015089107e-01,0.000000000000000000e+00
1.538461538461538103e+00,0.000000000000000000e+00,2.735195499064063673e-01,0.000000000000000000e+00
1.333333333333333037e+00,7.666666666666666899e-04,3.319691633898438909e-01,0.000000000000000000e+00
1.176470588235293935e+00,2.406666666666666676e-02,3.700742022413522347e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.306666666666666976e-02,3.969242038459073751e-01,0.000000000000000000e+00
9.523809523809521060e-01,6.633333333333332749e-02,4.232177378355361230e-01,0.000000000000000000e+00
8.695652173913041016e-01,8.333333333333332871e-02,4.489847600721331711e-01,0.000000000000000000e+00
7.999999999999998224e-01,1.018000000000000016e-01,4.709912019679671213e-01,0.000000000000000000e+00
7.407407407407405886e-01,1.122666666666666674e-01,4.836770595201724254e-01,0.000000000000000000e+00
6.896551724137929273e-01,1.259000000000000119e-01,5.057289780630155329e-01,0.000000000000000000e+00
6.451612903225805162e-01,1.426000000000000045e-01,5.076714756182876265e-01,0.000000000000000000e+00
